model,scope,n,decision_accuracy,FPR,FNR,constraint_valid_rate,tail_match_rate,mission_success_rate,avg_partial_credit,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens,TP,TN,FP,FN,n_replan_gt
gemini-2.5-flash-thinking,overall,32,93.8,16.7,0.0,100.0,85.0,84.4,1.0,7.55,1.0,0.0,35.344,20,10,2,0,20
gemini-2.5-flash-thinking,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,7.875,1.0,0.0,37.875,3,3,2,0,3
gemini-2.5-flash-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,6.269,1.0,0.0,40.444,6,3,0,0,6
gemini-2.5-flash-thinking,Exp3,15,100.0,0.0,0.0,100.0,81.8,86.7,1.0,8.146,1.0,0.0,30.933,11,4,0,0,11
gemini-2.5-flash-base,overall,32,87.5,25.0,5.0,90.0,65.0,68.8,0.5833,1.161,1.156,12.5,30.375,19,9,3,1,20
gemini-2.5-flash-base,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,1.678,1.125,12.5,23.0,3,3,2,0,3
gemini-2.5-flash-base,Exp2,9,100.0,0.0,0.0,83.3,66.7,77.8,,1.391,1.444,33.3,39.667,6,3,0,0,6
gemini-2.5-flash-base,Exp3,15,86.7,25.0,9.1,90.9,63.6,66.7,0.5833,0.748,1.0,0.0,28.733,10,3,1,1,11
qwen-235b-thinking,overall,32,81.2,25.0,15.0,85.0,65.0,68.8,0.5,88.925,1.219,18.8,41.719,17,9,3,3,20
qwen-235b-thinking,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,58.91,1.125,12.5,34.875,3,3,2,0,3
qwen-235b-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,50.822,1.0,0.0,58.333,6,3,0,0,6
qwen-235b-thinking,Exp3,15,73.3,25.0,27.3,72.7,45.5,53.3,0.5,127.795,1.4,33.3,35.4,8,3,1,3,11
qwen-235b-instruct,overall,32,71.9,8.3,40.0,60.0,25.0,50.0,0.75,5.392,1.031,3.1,17.781,12,11,1,8,20
qwen-235b-instruct,Exp1,8,75.0,20.0,33.3,66.7,33.3,62.5,,7.824,1.0,0.0,13.5,2,4,1,1,3
qwen-235b-instruct,Exp2,9,77.8,0.0,33.3,66.7,50.0,66.7,,6.956,1.0,0.0,23.0,4,3,0,2,6
qwen-235b-instruct,Exp3,15,66.7,0.0,45.5,54.5,9.1,33.3,0.75,3.157,1.067,6.7,16.933,6,4,0,5,11
deepseek-r1,overall,32,90.6,16.7,5.0,95.0,65.0,71.9,0.8333,78.615,1.031,3.1,35.344,19,10,2,1,20
deepseek-r1,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,50.45,1.0,0.0,27.0,3,3,2,0,3
deepseek-r1,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,55.989,1.111,11.1,40.889,6,3,0,0,6
deepseek-r1,Exp3,15,93.3,0.0,9.1,90.9,45.5,60.0,0.8333,107.213,1.0,0.0,36.467,10,4,0,1,11
o4-mini,overall,32,78.1,8.3,30.0,70.0,50.0,65.6,0.25,5.326,1.0,0.0,16.031,14,11,1,6,20
o4-mini,Exp1,8,75.0,20.0,33.3,66.7,33.3,62.5,,5.167,1.0,0.0,13.75,2,4,1,1,3
o4-mini,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,5.655,1.0,0.0,26.667,6,3,0,0,6
o4-mini,Exp3,15,66.7,0.0,45.5,54.5,27.3,46.7,0.25,5.214,1.0,0.0,10.867,6,4,0,5,11
