model,scope,n,decision_accuracy,FPR,FNR,constraint_valid_rate,tail_match_rate,mission_success_rate,avg_partial_credit,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens,TP,TN,FP,FN,n_replan_gt
gemini-2.5-flash-thinking,overall,32,87.5,25.0,5.0,95.0,90.0,84.4,0.75,7.702,1.031,3.1,44.812,19,9,3,1,20
gemini-2.5-flash-thinking,Exp1,8,75.0,40.0,0.0,100.0,100.0,75.0,,7.201,1.0,0.0,38.5,3,3,2,0,3
gemini-2.5-flash-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,6.414,1.0,0.0,65.556,6,3,0,0,6
gemini-2.5-flash-thinking,Exp3,15,86.7,25.0,9.1,90.9,81.8,80.0,0.75,8.742,1.067,6.7,35.733,10,3,1,1,11
gemini-2.5-flash-base,overall,32,93.8,16.7,0.0,100.0,85.0,84.4,1.0,1.404,1.156,15.6,32.375,20,10,2,0,20
gemini-2.5-flash-base,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,0.92,1.125,12.5,24.625,3,3,2,0,3
gemini-2.5-flash-base,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,1.188,1.222,22.2,45.889,6,3,0,0,6
gemini-2.5-flash-base,Exp3,15,100.0,0.0,0.0,100.0,81.8,86.7,1.0,1.791,1.133,13.3,28.4,11,4,0,0,11
qwen-235b-thinking,overall,32,87.5,16.7,10.0,65.0,55.0,65.6,0.25,94.548,1.531,37.5,33.531,18,10,2,2,20
qwen-235b-thinking,Exp1,8,87.5,20.0,0.0,100.0,66.7,75.0,,62.112,1.375,37.5,43.875,3,4,1,0,3
qwen-235b-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,59.455,1.333,33.3,53.222,6,3,0,0,6
qwen-235b-thinking,Exp3,15,80.0,25.0,18.2,36.4,27.3,40.0,0.25,132.903,1.733,40.0,16.2,9,3,1,2,11
qwen-235b-instruct,overall,32,71.9,16.7,35.0,65.0,25.0,46.9,1.0,3.947,1.0,0.0,20.031,13,10,2,7,20
qwen-235b-instruct,Exp1,8,75.0,20.0,33.3,66.7,0.0,50.0,,4.118,1.0,0.0,13.375,2,4,1,1,3
qwen-235b-instruct,Exp2,9,77.8,0.0,33.3,66.7,50.0,66.7,,2.697,1.0,0.0,16.667,4,3,0,2,6
qwen-235b-instruct,Exp3,15,66.7,25.0,36.4,63.6,18.2,33.3,1.0,4.606,1.0,0.0,25.6,7,3,1,4,11
deepseek-r1,overall,32,81.2,33.3,10.0,90.0,70.0,68.8,0.75,84.935,1.031,3.1,36.094,18,8,4,2,20
deepseek-r1,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,107.919,1.0,0.0,36.625,3,3,2,0,3
deepseek-r1,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,63.363,1.0,0.0,55.778,6,3,0,0,6
deepseek-r1,Exp3,15,73.3,50.0,18.2,81.8,54.5,53.3,0.75,85.62,1.067,6.7,24.0,9,2,2,2,11
o4-mini,overall,32,78.1,16.7,25.0,70.0,50.0,62.5,0.5,6.315,1.062,3.1,18.188,15,10,2,5,20
o4-mini,Exp1,8,87.5,20.0,0.0,66.7,33.3,62.5,,6.823,1.25,12.5,15.875,3,4,1,0,3
o4-mini,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,6.13,1.0,0.0,27.556,6,3,0,0,6
o4-mini,Exp3,15,60.0,25.0,45.5,54.5,27.3,40.0,0.5,6.154,1.0,0.0,13.8,6,3,1,5,11
