run_id,scenario_id,level,model,mission_text,validity_rate,tail_match,mission_success,attempts,needed_retry,latency_s,approx_prompt_tokens,approx_output_tokens,altitude_explicit,standoff_explicit,plan_length,reference_length,length_match,steps_correct_count,errors
8,P-L1-01,L1,gemini-2.5-flash-thinking,Take off to 5 meters and return home.,True,True,True,1,False,2.565,446,22,True,True,2,2,True,2,[]
8,P-L1-01,L1,gemini-2.5-flash-base,Take off to 5 meters and return home.,True,True,True,1,False,11.98,446,22,True,True,2,2,True,2,[]
8,P-L1-01,L1,qwen-235b-thinking,Take off to 5 meters and return home.,True,True,True,1,False,7.564,446,22,True,True,2,2,True,2,[]
8,P-L1-01,L1,qwen-235b-instruct,Take off to 5 meters and return home.,True,True,True,1,False,7.467,446,22,True,True,2,2,True,2,[]
8,P-L1-01,L1,deepseek-r1,Take off to 5 meters and return home.,True,True,True,1,False,7.129,446,22,True,True,2,2,True,2,[]
8,P-L1-01,L1,o4-mini,Take off to 5 meters and return home.,True,True,True,1,False,3.363,446,22,True,True,2,2,True,2,[]
8,P-L1-02,L1,gemini-2.5-flash-thinking,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,2.213,452,35,False,True,3,3,True,3,[]
8,P-L1-02,L1,gemini-2.5-flash-base,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,0.666,452,35,False,True,3,3,True,3,[]
8,P-L1-02,L1,qwen-235b-thinking,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,7.114,452,35,False,True,3,3,True,3,[]
8,P-L1-02,L1,qwen-235b-instruct,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,2.267,452,35,False,True,3,3,True,3,[]
8,P-L1-02,L1,deepseek-r1,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,10.776,452,32,False,True,3,3,True,3,[]
8,P-L1-02,L1,o4-mini,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,2.899,452,35,False,True,3,3,True,3,[]
8,P-L1-03,L1,gemini-2.5-flash-thinking,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,2.499,452,35,False,True,3,3,True,3,[]
8,P-L1-03,L1,gemini-2.5-flash-base,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,1.016,452,35,False,True,3,3,True,3,[]
8,P-L1-03,L1,qwen-235b-thinking,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,12.066,452,35,False,True,3,3,True,3,[]
8,P-L1-03,L1,qwen-235b-instruct,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,3.611,452,35,False,True,3,3,True,3,[]
8,P-L1-03,L1,deepseek-r1,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,16.952,452,35,False,True,3,3,True,3,[]
8,P-L1-03,L1,o4-mini,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,4.218,452,35,False,True,3,3,True,3,[]
8,P-L2-01,L2,gemini-2.5-flash-thinking,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,3.683,460,67,False,True,5,5,True,5,[]
8,P-L2-01,L2,gemini-2.5-flash-base,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,20.693,460,67,False,True,5,5,True,5,[]
8,P-L2-01,L2,qwen-235b-thinking,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,2,True,116.97,460,67,False,True,5,5,True,5,"[""attempt 1: Unterminated string starting at: line 3 column 13 (char 65)""]"
8,P-L2-01,L2,qwen-235b-instruct,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,38.23,460,67,False,True,5,5,True,5,[]
8,P-L2-01,L2,deepseek-r1,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,43.452,460,40,False,True,5,5,True,5,[]
8,P-L2-01,L2,o4-mini,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,5.329,460,70,False,True,5,5,True,5,[]
8,P-L2-02,L2,gemini-2.5-flash-thinking,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,2.07,459,70,False,True,5,5,True,5,[]
8,P-L2-02,L2,gemini-2.5-flash-base,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,0.957,459,67,False,True,5,5,True,5,[]
8,P-L2-02,L2,qwen-235b-thinking,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,23.281,459,70,False,True,5,5,True,5,[]
8,P-L2-02,L2,qwen-235b-instruct,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,1.618,459,70,False,True,5,5,True,5,[]
8,P-L2-02,L2,deepseek-r1,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,64.395,459,45,False,True,5,5,True,5,[]
8,P-L2-02,L2,o4-mini,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,7.265,459,67,False,True,5,5,True,5,[]
8,P-L2-03,L2,gemini-2.5-flash-thinking,"Do a thorough search of the field. Map the first object you find with one orbit at 8 meters standoff, then return home.",True,True,True,1,False,2.934,467,70,False,True,5,5,True,5,[]
8,P-L2-03,L2,gemini-2.5-flash-base,"Do a thorough search of the field. Map the first object you find with one orbit at 8 meters standoff, then return home.",True,True,True,1,False,1.077,467,67,False,True,5,5,True,5,[]
8,P-L2-03,L2,qwen-235b-thinking,"Do a thorough search of the field. Map the first object you find with one orbit at 8 meters standoff, then return home.",True,True,True,1,False,15.87,467,70,False,True,5,5,True,5,[]
8,P-L2-03,L2,qwen-235b-instruct,"Do a thorough search of the field. Map the first object you find with one orbit at 8 meters standoff, then return home.",True,True,True,1,False,23.995,467,70,False,True,5,5,True,5,[]
8,P-L2-03,L2,deepseek-r1,"Do a thorough search of the field. Map the first object you find with one orbit at 8 meters standoff, then return home.",True,True,True,1,False,31.436,467,81,False,True,5,5,True,5,[]
