model,scope,n,validity_rate,tail_match_rate,mission_success_rate,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens
gemini-2.5-flash-thinking,overall,10,100.0,100.0,100.0,2.945,1.0,0.0,57.9
gemini-2.5-flash-thinking,L1,3,100.0,100.0,100.0,2.426,1.0,0.0,30.667
gemini-2.5-flash-thinking,L2,3,100.0,100.0,100.0,2.896,1.0,0.0,69.0
gemini-2.5-flash-thinking,L3,4,100.0,100.0,100.0,3.371,1.0,0.0,70.0
gemini-2.5-flash-base,overall,10,100.0,100.0,100.0,4.15,1.0,0.0,56.7
gemini-2.5-flash-base,L1,3,100.0,100.0,100.0,4.554,1.0,0.0,30.667
gemini-2.5-flash-base,L2,3,100.0,100.0,100.0,7.576,1.0,0.0,67.0
gemini-2.5-flash-base,L3,4,100.0,100.0,100.0,1.277,1.0,0.0,68.5
qwen-235b-thinking,overall,10,100.0,100.0,100.0,32.335,1.1,10.0,57.9
qwen-235b-thinking,L1,3,100.0,100.0,100.0,8.915,1.0,0.0,30.667
qwen-235b-thinking,L2,3,100.0,100.0,100.0,52.04,1.333,33.3,69.0
qwen-235b-thinking,L3,4,100.0,100.0,100.0,35.121,1.0,0.0,70.0
qwen-235b-instruct,overall,10,100.0,100.0,100.0,10.385,1.0,0.0,52.9
qwen-235b-instruct,L1,3,100.0,100.0,100.0,4.448,1.0,0.0,30.667
qwen-235b-instruct,L2,3,100.0,100.0,100.0,21.281,1.0,0.0,69.0
qwen-235b-instruct,L3,4,100.0,100.0,100.0,6.665,1.0,0.0,57.5
deepseek-r1,overall,10,100.0,90.0,90.0,45.392,1.0,0.0,49.4
deepseek-r1,L1,3,100.0,100.0,100.0,11.619,1.0,0.0,29.667
deepseek-r1,L2,3,100.0,100.0,100.0,46.428,1.0,0.0,55.333
deepseek-r1,L3,4,100.0,75.0,75.0,69.944,1.0,0.0,59.75
o4-mini,overall,10,100.0,100.0,100.0,5.843,1.0,0.0,43.5
o4-mini,L1,3,100.0,100.0,100.0,3.493,1.0,0.0,30.667
o4-mini,L2,3,100.0,100.0,100.0,5.542,1.0,0.0,46.0
o4-mini,L3,4,100.0,100.0,100.0,7.832,1.0,0.0,51.25
