run_id,scenario_id,experiment,category,model,mission_text,is_nominal_gt,decision_correct,is_tp,is_tn,is_fp,is_fn,constraint_valid,tail_match,mission_success,allows_partial_credit,partial_credit_score,model_said_nominal,reason,attempts,needed_retry,latency_s,approx_prompt_tokens,approx_output_tokens,errors
3,E1-EX1,1,EX,gemini-2.5-flash-thinking,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Perception lost object 1 during approach, requiring a new search and re-attempt to map it before proceeding with other objects.",1,False,10.65,742,37,[]
3,E1-EX1,1,EX,gemini-2.5-flash-base,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Perception lost object 1, so it cannot be mapped; we must re-search to relocate it if necessary, or continue with other objects and return home.",1,False,6.699,742,35,[]
3,E1-EX1,1,EX,qwen-235b-thinking,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,Object 1 was lost during approach requiring reacquisition via search before valid approach and mapping can proceed.,1,False,96.354,742,117,[]
3,E1-EX1,1,EX,qwen-235b-instruct,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Perception lost track of object 1 during approach, requiring a re-acquisition search before proceeding with approach and map.",1,False,2.163,742,27,[]
3,E1-EX1,1,EX,deepseek-r1,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,Lost track of object 1 during approach requires re-acquisition via search to ensure mapping compliance.,1,False,198.109,742,32,[]
3,E1-EX1,1,EX,o4-mini,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,Perception lost track of object 1 so a local search is needed to reacquire it before mapping.,1,False,12.027,742,35,[]
3,E1-EX2,1,EX,gemini-2.5-flash-thinking,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"The second planned orbit pass for object 1 failed, so an additional orbital mapping is required to complete the mission's ""orbit each one twice"" requirement for that object.",1,False,11.786,753,116,[]
3,E1-EX2,1,EX,gemini-2.5-flash-base,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"The second orbit of object 1 failed, so it needs to be reappraoched and orbited again to ensure two successful orbits per object.",2,True,2.569,753,32,"[""attempt 1: map at 0 (object_id=1) requires a preceding approach""]"
3,E1-EX2,1,EX,qwen-235b-thinking,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,The aborted second orbit of object 1 requires an additional approach and map step to complete two orbits for object 1.,1,False,125.272,753,31,[]
3,E1-EX2,1,EX,qwen-235b-instruct,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,Object 1's map step was incomplete due to a timeout; one additional orbit is required to fulfill the mission objective of two full orbits per object.,1,False,14.374,753,37,[]
