model,scope,n,decision_accuracy,FPR,FNR,constraint_valid_rate,tail_match_rate,mission_success_rate,avg_partial_credit,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens,TP,TN,FP,FN,n_replan_gt
gemini-2.5-flash-thinking,overall,32,87.5,25.0,5.0,95.0,75.0,75.0,0.75,8.526,1.125,9.4,41.281,19,9,3,1,20
gemini-2.5-flash-thinking,Exp1,8,62.5,60.0,0.0,100.0,100.0,62.5,,9.187,1.125,12.5,40.25,3,2,3,0,3
gemini-2.5-flash-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,6.388,1.0,0.0,46.111,6,3,0,0,6
gemini-2.5-flash-thinking,Exp3,15,93.3,0.0,9.1,90.9,54.5,66.7,0.75,9.455,1.2,13.3,38.933,10,4,0,1,11
gemini-2.5-flash-base,overall,32,90.6,25.0,0.0,100.0,70.0,71.9,0.7333,1.157,1.125,12.5,36.812,20,9,3,0,20
gemini-2.5-flash-base,Exp1,8,62.5,60.0,0.0,100.0,66.7,50.0,,1.152,1.125,12.5,35.875,3,2,3,0,3
gemini-2.5-flash-base,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,1.369,1.222,22.2,41.444,6,3,0,0,6
gemini-2.5-flash-base,Exp3,15,100.0,0.0,0.0,100.0,54.5,66.7,0.7333,1.033,1.067,6.7,34.533,11,4,0,0,11
qwen-235b-thinking,overall,32,90.6,16.7,5.0,85.0,65.0,71.9,0.3333,73.781,1.312,21.9,41.844,19,10,2,1,20
qwen-235b-thinking,Exp1,8,87.5,20.0,0.0,100.0,66.7,75.0,,52.859,1.125,12.5,39.875,3,4,1,0,3
qwen-235b-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,69.731,1.333,22.2,55.333,6,3,0,0,6
qwen-235b-thinking,Exp3,15,86.7,25.0,9.1,72.7,45.5,53.3,0.3333,87.37,1.4,26.7,34.8,10,3,1,1,11
qwen-235b-instruct,overall,32,68.8,16.7,40.0,60.0,15.0,40.6,0.75,4.865,1.062,6.2,20.469,12,10,2,8,20
qwen-235b-instruct,Exp1,8,62.5,40.0,33.3,66.7,0.0,37.5,,9.585,1.125,12.5,21.25,2,3,2,1,3
qwen-235b-instruct,Exp2,9,88.9,0.0,16.7,83.3,50.0,66.7,,3.075,1.111,11.1,21.556,5,3,0,1,6
qwen-235b-instruct,Exp3,15,60.0,0.0,54.5,45.5,0.0,26.7,0.75,3.421,1.0,0.0,19.4,5,4,0,6,11
deepseek-r1,overall,32,84.4,25.0,10.0,90.0,75.0,75.0,1.0,61.792,1.031,3.1,30.25,18,9,3,2,20
deepseek-r1,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,61.438,1.0,0.0,30.5,3,3,2,0,3
deepseek-r1,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,38.995,1.0,0.0,40.0,6,3,0,0,6
deepseek-r1,Exp3,15,80.0,25.0,18.2,81.8,63.6,66.7,1.0,75.66,1.067,6.7,24.267,9,3,1,2,11
o4-mini,overall,32,87.5,8.3,15.0,80.0,55.0,68.8,0.5833,6.319,1.062,3.1,17.688,17,11,1,3,20
o4-mini,Exp1,8,87.5,20.0,0.0,66.7,33.3,62.5,,8.076,1.25,12.5,16.5,3,4,1,0,3
o4-mini,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,5.373,1.0,0.0,24.556,6,3,0,0,6
o4-mini,Exp3,15,80.0,0.0,27.3,72.7,36.4,53.3,0.5833,5.95,1.0,0.0,14.2,8,4,0,3,11
