model,scope,n,validity_rate,tail_match_rate,mission_success_rate,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens
gemini-2.5-flash-thinking,overall,10,100.0,100.0,100.0,3.285,1.0,0.0,58.3
gemini-2.5-flash-thinking,L1,3,100.0,100.0,100.0,2.971,1.0,0.0,30.667
gemini-2.5-flash-thinking,L2,3,100.0,100.0,100.0,3.945,1.0,0.0,69.667
gemini-2.5-flash-thinking,L3,4,100.0,100.0,100.0,3.026,1.0,0.0,70.5
gemini-2.5-flash-base,overall,10,100.0,100.0,100.0,1.008,1.0,0.0,55.9
gemini-2.5-flash-base,L1,3,100.0,100.0,100.0,0.718,1.0,0.0,28.0
gemini-2.5-flash-base,L2,3,100.0,100.0,100.0,1.136,1.0,0.0,69.0
gemini-2.5-flash-base,L3,4,100.0,100.0,100.0,1.129,1.0,0.0,67.0
qwen-235b-thinking,overall,10,100.0,100.0,100.0,71.894,1.4,30.0,57.9
qwen-235b-thinking,L1,3,100.0,100.0,100.0,8.533,1.0,0.0,30.667
qwen-235b-thinking,L2,3,100.0,100.0,100.0,56.371,1.333,33.3,69.0
qwen-235b-thinking,L3,4,100.0,100.0,100.0,131.058,1.75,50.0,70.0
qwen-235b-instruct,overall,10,100.0,100.0,100.0,4.431,1.0,0.0,50.6
qwen-235b-instruct,L1,3,100.0,100.0,100.0,2.292,1.0,0.0,14.667
qwen-235b-instruct,L2,3,100.0,100.0,100.0,4.717,1.0,0.0,69.0
qwen-235b-instruct,L3,4,100.0,100.0,100.0,5.82,1.0,0.0,63.75
deepseek-r1,overall,10,100.0,100.0,100.0,55.197,1.1,10.0,54.3
deepseek-r1,L1,3,100.0,100.0,100.0,20.792,1.333,33.3,29.667
deepseek-r1,L2,3,100.0,100.0,100.0,53.611,1.0,0.0,69.0
deepseek-r1,L3,4,100.0,100.0,100.0,82.189,1.0,0.0,61.75
o4-mini,overall,10,100.0,100.0,100.0,4.245,1.0,0.0,51.2
o4-mini,L1,3,100.0,100.0,100.0,2.913,1.0,0.0,7.333
o4-mini,L2,3,100.0,100.0,100.0,4.847,1.0,0.0,70.0
o4-mini,L3,4,100.0,100.0,100.0,4.793,1.0,0.0,70.0
