run_id,scenario_id,experiment,category,model,mission_text,is_nominal_gt,decision_correct,is_tp,is_tn,is_fp,is_fn,constraint_valid,tail_match,mission_success,allows_partial_credit,partial_credit_score,model_said_nominal,reason,attempts,needed_retry,latency_s,approx_prompt_tokens,approx_output_tokens,errors
5,E1-EX1,1,EX,gemini-2.5-flash-thinking,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Object 1 was lost during the prior approach, so a re-search and re-approach are necessary to successfully map it before proceeding with other objects.",1,False,9.256,742,87,[]
5,E1-EX1,1,EX,gemini-2.5-flash-base,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Perception lost track of object 1, so the drone needs to search for it again before attempting to approach and map it.",1,False,1.664,742,82,[]
5,E1-EX1,1,EX,qwen-235b-thinking,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Lost tracking of object 1 prevents immediate mapping, requiring search for re-acquisition and new approach before mapping to fulfill mission requirement.",1,False,102.386,742,90,[]
5,E1-EX1,1,EX,qwen-235b-instruct,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,Object 1 was lost during approach; a search is required to reacquire it before proceeding with mapping.,1,False,18.274,742,25,[]
5,E1-EX1,1,EX,deepseek-r1,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,True,True,False,,False,Lost tracking during object 1 approach requires re-attempting approach before mapping to ensure successful orbit.,1,False,24.23,742,31,[]
5,E1-EX1,1,EX,o4-mini,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Perception lost track of object 1, so a search is needed before reapproaching and mapping it.",1,False,11.388,742,24,[]
5,E1-EX2,1,EX,gemini-2.5-flash-thinking,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"The second planned orbit for object 1 failed, so one additional orbit of object 1 is required to meet the mission requirement of orbiting each object twice.",1,False,10.231,753,45,[]
5,E1-EX2,1,EX,gemini-2.5-flash-base,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"Object 1's second orbit failed, so an additional approach and orbit are required to complete the mission for that object before proceeding to object 2.",2,True,2.905,753,35,"[""attempt 1: map at 0 (object_id=1) requires a preceding approach""]"
5,E1-EX2,1,EX,qwen-235b-thinking,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"Object 1 requires one additional orbit to fulfill the mission's ""orbit each twice"" requirement after the second orbit failure, and the map step must be immediately preceded by a dedicated approach step for the same object per constraints.",1,False,50.089,753,133,[]
5,E1-EX2,1,EX,qwen-235b-instruct,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Object 1 requires a second full orbit as the previous map attempt failed during the second pass, so the tail plan must reattempt approach and dual orbits for object 1 before proceeding to object 2.",1,False,3.925,753,49,[]
