model,scope,n,decision_accuracy,FPR,FNR,constraint_valid_rate,tail_match_rate,mission_success_rate,avg_partial_credit,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens,TP,TN,FP,FN,n_replan_gt
gemini-2.5-flash-thinking,overall,32,84.4,25.0,10.0,90.0,75.0,75.0,0.5833,6.228,1.0,0.0,31.781,18,9,3,2,20
gemini-2.5-flash-thinking,Exp1,8,62.5,40.0,33.3,66.7,66.7,62.5,,6.171,1.0,0.0,20.5,2,3,2,1,3
gemini-2.5-flash-thinking,Exp2,9,88.9,33.3,0.0,100.0,100.0,88.9,,5.543,1.0,0.0,46.556,6,2,1,0,6
gemini-2.5-flash-thinking,Exp3,15,93.3,0.0,9.1,90.9,63.6,73.3,0.5833,6.669,1.0,0.0,28.933,10,4,0,1,11
gemini-2.5-flash-base,overall,32,84.4,33.3,5.0,95.0,65.0,65.6,0.4833,1.056,1.219,15.6,35.156,19,8,4,1,20
gemini-2.5-flash-base,Exp1,8,50.0,80.0,0.0,100.0,66.7,37.5,,1.154,1.125,12.5,50.375,3,1,4,0,3
gemini-2.5-flash-base,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,1.217,1.333,22.2,32.889,6,3,0,0,6
gemini-2.5-flash-base,Exp3,15,93.3,0.0,9.1,90.9,45.5,60.0,0.4833,0.907,1.2,13.3,28.4,10,4,0,1,11
qwen-235b-thinking,overall,32,87.5,16.7,10.0,75.0,70.0,75.0,0.5,82.279,1.469,34.4,38.656,18,10,2,2,20
qwen-235b-thinking,Exp1,8,87.5,20.0,0.0,66.7,66.7,75.0,,48.899,1.375,25.0,27.25,3,4,1,0,3
qwen-235b-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,59.596,1.111,11.1,62.111,6,3,0,0,6
qwen-235b-thinking,Exp3,15,80.0,25.0,18.2,63.6,54.5,60.0,0.5,113.691,1.733,53.3,30.667,9,3,1,2,11
qwen-235b-instruct,overall,32,75.0,8.3,35.0,65.0,20.0,46.9,1.0,3.701,1.031,3.1,19.656,13,11,1,7,20
qwen-235b-instruct,Exp1,8,75.0,20.0,33.3,66.7,33.3,62.5,,5.16,1.0,0.0,14.25,2,4,1,1,3
qwen-235b-instruct,Exp2,9,77.8,0.0,33.3,66.7,33.3,55.6,,3.634,1.111,11.1,21.333,4,3,0,2,6
qwen-235b-instruct,Exp3,15,73.3,0.0,36.4,63.6,9.1,33.3,1.0,2.963,1.0,0.0,21.533,7,4,0,4,11
deepseek-r1,overall,32,90.6,16.7,5.0,95.0,50.0,62.5,0.8333,102.935,1.0,0.0,30.688,19,10,2,1,20
deepseek-r1,Exp1,8,87.5,20.0,0.0,100.0,66.7,75.0,,66.274,1.0,0.0,13.75,3,4,1,0,3
deepseek-r1,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,65.194,1.0,0.0,22.889,6,3,0,0,6
deepseek-r1,Exp3,15,86.7,25.0,9.1,90.9,18.2,33.3,0.8333,145.132,1.0,0.0,44.4,10,3,1,1,11
o4-mini,overall,32,81.2,8.3,25.0,75.0,45.0,62.5,0.5,5.845,1.031,3.1,17.5,15,11,1,5,20
o4-mini,Exp1,8,75.0,20.0,33.3,66.7,33.3,62.5,,5.408,1.125,12.5,13.25,2,4,1,1,3
o4-mini,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,5.867,1.0,0.0,26.556,6,3,0,0,6
o4-mini,Exp3,15,73.3,0.0,36.4,63.6,18.2,40.0,0.5,6.065,1.0,0.0,14.333,7,4,0,4,11
