model,scope,n,validity_rate,tail_match_rate,mission_success_rate,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens
gemini-2.5-flash-thinking,overall,10,100.0,100.0,100.0,3.186,1.0,0.0,57.3
gemini-2.5-flash-thinking,L1,3,100.0,100.0,100.0,2.546,1.0,0.0,30.667
gemini-2.5-flash-thinking,L2,3,100.0,100.0,100.0,3.2,1.0,0.0,69.0
gemini-2.5-flash-thinking,L3,4,100.0,100.0,100.0,3.655,1.0,0.0,68.5
gemini-2.5-flash-base,overall,10,100.0,100.0,100.0,0.99,1.0,0.0,56.4
gemini-2.5-flash-base,L1,3,100.0,100.0,100.0,0.723,1.0,0.0,30.667
gemini-2.5-flash-base,L2,3,100.0,100.0,100.0,1.122,1.0,0.0,67.0
gemini-2.5-flash-base,L3,4,100.0,100.0,100.0,1.092,1.0,0.0,67.75
qwen-235b-thinking,overall,10,100.0,100.0,100.0,81.359,1.1,10.0,55.4
qwen-235b-thinking,L1,3,100.0,100.0,100.0,25.01,1.0,0.0,30.667
qwen-235b-thinking,L2,3,100.0,100.0,100.0,139.568,1.0,0.0,69.0
qwen-235b-thinking,L3,4,100.0,100.0,100.0,79.965,1.25,25.0,63.75
qwen-235b-instruct,overall,10,100.0,100.0,100.0,5.575,1.0,0.0,55.7
qwen-235b-instruct,L1,3,100.0,100.0,100.0,2.82,1.0,0.0,23.333
qwen-235b-instruct,L2,3,100.0,100.0,100.0,9.557,1.0,0.0,69.0
qwen-235b-instruct,L3,4,100.0,100.0,100.0,4.654,1.0,0.0,70.0
deepseek-r1,overall,10,100.0,100.0,100.0,56.379,1.1,10.0,51.4
deepseek-r1,L1,3,100.0,100.0,100.0,21.1,1.333,33.3,29.0
deepseek-r1,L2,3,100.0,100.0,100.0,27.198,1.0,0.0,51.0
deepseek-r1,L3,4,100.0,100.0,100.0,104.725,1.0,0.0,68.5
o4-mini,overall,10,100.0,100.0,100.0,5.326,1.1,10.0,48.2
o4-mini,L1,3,100.0,100.0,100.0,3.947,1.333,33.3,30.667
o4-mini,L2,3,100.0,100.0,100.0,4.804,1.0,0.0,61.667
o4-mini,L3,4,100.0,100.0,100.0,6.752,1.0,0.0,51.25
