model,scope,n,validity_rate,tail_match_rate,mission_success_rate,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens
gemini-2.5-flash-thinking,overall,10,100.0,100.0,100.0,3.048,1.0,0.0,58.2
gemini-2.5-flash-thinking,L1,3,100.0,100.0,100.0,1.681,1.0,0.0,30.667
gemini-2.5-flash-thinking,L2,3,100.0,100.0,100.0,3.751,1.0,0.0,70.0
gemini-2.5-flash-thinking,L3,4,100.0,100.0,100.0,3.546,1.0,0.0,70.0
gemini-2.5-flash-base,overall,10,100.0,100.0,100.0,1.271,1.0,0.0,56.5
gemini-2.5-flash-base,L1,3,100.0,100.0,100.0,1.133,1.0,0.0,30.0
gemini-2.5-flash-base,L2,3,100.0,100.0,100.0,1.132,1.0,0.0,68.0
gemini-2.5-flash-base,L3,4,100.0,100.0,100.0,1.478,1.0,0.0,67.75
qwen-235b-thinking,overall,10,100.0,100.0,100.0,47.33,1.2,20.0,56.2
qwen-235b-thinking,L1,3,100.0,100.0,100.0,24.525,1.0,0.0,29.667
qwen-235b-thinking,L2,3,100.0,100.0,100.0,29.569,1.0,0.0,64.333
qwen-235b-thinking,L3,4,100.0,100.0,100.0,77.754,1.5,50.0,70.0
qwen-235b-instruct,overall,10,100.0,100.0,100.0,11.443,1.0,0.0,56.3
qwen-235b-instruct,L1,3,100.0,100.0,100.0,1.813,1.0,0.0,27.333
qwen-235b-instruct,L2,3,100.0,100.0,100.0,6.754,1.0,0.0,68.0
qwen-235b-instruct,L3,4,100.0,100.0,100.0,22.181,1.0,0.0,69.25
deepseek-r1,overall,10,100.0,90.0,90.0,47.099,1.0,0.0,51.6
deepseek-r1,L1,3,100.0,100.0,100.0,17.048,1.0,0.0,33.333
deepseek-r1,L2,3,100.0,100.0,100.0,27.799,1.0,0.0,68.0
deepseek-r1,L3,4,100.0,75.0,75.0,84.112,1.0,0.0,53.0
o4-mini,overall,10,100.0,100.0,100.0,5.998,1.0,0.0,41.5
o4-mini,L1,3,100.0,100.0,100.0,3.035,1.0,0.0,19.333
o4-mini,L2,3,100.0,100.0,100.0,5.25,1.0,0.0,69.0
o4-mini,L3,4,100.0,100.0,100.0,8.781,1.0,0.0,37.5
