model,scope,n,decision_accuracy,FPR,FNR,constraint_valid_rate,tail_match_rate,mission_success_rate,avg_partial_credit,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens,TP,TN,FP,FN,n_replan_gt
gemini-2.5-flash-thinking,overall,32,90.6,16.7,5.0,95.0,70.0,75.0,0.5833,6.759,1.0,0.0,36.844,19,10,2,1,20
gemini-2.5-flash-thinking,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,6.699,1.0,0.0,38.0,3,3,2,0,3
gemini-2.5-flash-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,5.572,1.0,0.0,39.222,6,3,0,0,6
gemini-2.5-flash-thinking,Exp3,15,93.3,0.0,9.1,90.9,54.5,66.7,0.5833,7.503,1.0,0.0,34.8,10,4,0,1,11
gemini-2.5-flash-base,overall,32,84.4,25.0,10.0,90.0,75.0,75.0,0.3333,0.949,1.125,9.4,25.875,18,9,3,2,20
gemini-2.5-flash-base,Exp1,8,62.5,60.0,0.0,100.0,66.7,50.0,,1.034,1.125,12.5,28.5,3,2,3,0,3
gemini-2.5-flash-base,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,1.271,1.333,22.2,31.333,6,3,0,0,6
gemini-2.5-flash-base,Exp3,15,86.7,0.0,18.2,81.8,63.6,73.3,0.3333,0.71,1.0,0.0,21.2,9,4,0,2,11
qwen-235b-thinking,overall,32,84.4,16.7,15.0,80.0,60.0,68.8,0.75,110.005,1.375,28.1,44.344,17,10,2,3,20
qwen-235b-thinking,Exp1,8,87.5,20.0,0.0,100.0,66.7,75.0,,81.465,1.125,12.5,45.25,3,4,1,0,3
qwen-235b-thinking,Exp2,9,100.0,0.0,0.0,83.3,83.3,88.9,,114.617,1.444,33.3,42.667,6,3,0,0,6
qwen-235b-thinking,Exp3,15,73.3,25.0,27.3,72.7,45.5,53.3,0.75,122.458,1.467,33.3,44.867,8,3,1,3,11
qwen-235b-instruct,overall,32,71.9,16.7,35.0,65.0,25.0,46.9,1.0,3.426,1.031,3.1,19.469,13,10,2,7,20
qwen-235b-instruct,Exp1,8,75.0,20.0,33.3,66.7,33.3,62.5,,2.512,1.125,12.5,15.375,2,4,1,1,3
qwen-235b-instruct,Exp2,9,77.8,0.0,33.3,66.7,50.0,66.7,,3.638,1.0,0.0,19.778,4,3,0,2,6
qwen-235b-instruct,Exp3,15,66.7,25.0,36.4,63.6,9.1,26.7,1.0,3.785,1.0,0.0,21.467,7,3,1,4,11
deepseek-r1,overall,32,87.5,25.0,5.0,95.0,75.0,75.0,1.0,92.166,1.031,3.1,34.562,19,9,3,1,20
deepseek-r1,Exp1,8,87.5,20.0,0.0,100.0,66.7,75.0,,45.628,1.0,0.0,21.75,3,4,1,0,3
deepseek-r1,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,54.848,1.0,0.0,43.444,6,3,0,0,6
deepseek-r1,Exp3,15,80.0,50.0,9.1,90.9,63.6,60.0,1.0,139.376,1.067,6.7,36.067,10,2,2,1,11
o4-mini,overall,32,81.2,8.3,25.0,75.0,50.0,65.6,0.5,5.614,1.062,6.2,17.438,15,11,1,5,20
o4-mini,Exp1,8,75.0,20.0,33.3,66.7,33.3,62.5,,5.069,1.125,12.5,10.25,2,4,1,1,3
o4-mini,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,5.499,1.0,0.0,30.111,6,3,0,0,6
o4-mini,Exp3,15,73.3,0.0,36.4,63.6,27.3,46.7,0.5,5.974,1.067,6.7,13.667,7,4,0,4,11
