run_id,scenario_id,experiment,category,model,mission_text,is_nominal_gt,decision_correct,is_tp,is_tn,is_fp,is_fn,constraint_valid,tail_match,mission_success,allows_partial_credit,partial_credit_score,model_said_nominal,reason,attempts,needed_retry,latency_s,approx_prompt_tokens,approx_output_tokens,errors
4,E1-EX1,1,EX,gemini-2.5-flash-thinking,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"Perception lost track of object 1 during the previous approach, requiring a new approach and map to satisfy the mission goal of mapping every discovered object.",1,False,6.644,742,44,[]
4,E1-EX1,1,EX,gemini-2.5-flash-base,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Perception lost object 1, so the plan must search for it again before attempting to map it, then proceed with the rest of the mission.",1,False,1.021,742,35,[]
4,E1-EX1,1,EX,qwen-235b-thinking,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,False,False,False,False,,False,,3,True,136.411,742,0,"[""attempt 1: 'NoneType' object has no attribute 'strip'"", ""attempt 2: 'NoneType' object has no attribute 'strip'"", ""attempt 3: 'NoneType' object has no attribute 'strip'""]"
4,E1-EX1,1,EX,qwen-235b-instruct,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Object 1 was lost during approach, requiring a reacquisition via search before resuming approach and map.",1,False,3.25,742,24,[]
4,E1-EX1,1,EX,deepseek-r1,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Object 1 was lost during approach, requiring re-search and re-attempt to ensure mission completion.",1,False,261.092,742,105,[]
4,E1-EX1,1,EX,o4-mini,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,Object 1 was lost during approach and must be re-searched before mapping.,1,False,8.219,742,18,[]
4,E1-EX2,1,EX,gemini-2.5-flash-thinking,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"Object 1 did not successfully complete its two required orbits, so an additional orbit pass for object 1 is needed.",1,False,5.704,753,36,[]
4,E1-EX2,1,EX,gemini-2.5-flash-base,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"Object 1 experienced a setpoint timeout on its second orbit, necessitating another orbit to complete the mission requirement of orbiting each object twice.",2,True,1.953,753,41,"[""attempt 1: map at 0 (object_id=1) requires a preceding approach""]"
4,E1-EX2,1,EX,qwen-235b-thinking,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"Object 1 failed its second orbit; must re-approach and complete one orbit before processing object 2 to satisfy ""orbit each one twice"".",1,False,30.904,753,109,[]
4,E1-EX2,1,EX,qwen-235b-instruct,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,False,False,False,,False,Object 1 requires two full orbits but the second orbit was aborted; re-approach and re-map with two orbits are needed to satisfy the mission.,1,False,12.7,753,35,[]
4,E1-EX2,1,EX,deepseek-r1,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,The second orbit for object 1 failed and must be completed to satisfy the mission requirement of two orbits per object.,1,False,81.92,753,108,[]
4,E1-EX2,1,EX,o4-mini,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"The second orbit of object 1 aborted and its data is unusable, so we must re-approach and remap it before proceeding.",1,False,9.47,753,31,[]
4,E1-EX3,1,EX,gemini-2.5-flash-thinking,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"Critically low battery requires an immediate return to home to ensure UAV safety, overriding further mission objectives.",1,False,6.343,706,32,[]
4,E1-EX3,1,EX,gemini-2.5-flash-base,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"Battery critically low, thus remaining mapping operation must be cancelled to ensure safe return.",1,False,0.918,706,27,[]
4,E1-EX3,1,EX,qwen-235b-thinking,"Search for objects and map every one you find with one orbit, then return home.",False,False,False,False,False,True,False,False,False,False,,True,,2,True,72.607,706,1,"[""attempt 1: 'NoneType' object has no attribute 'strip'""]"
4,E1-EX3,1,EX,qwen-235b-instruct,"Search for objects and map every one you find with one orbit, then return home.",False,False,False,False,False,True,False,False,False,False,,True,,1,False,1.251,706,1,[]
4,E1-EX3,1,EX,deepseek-r1,"Search for objects and map every one you find with one orbit, then return home.",False,False,False,False,False,True,False,False,False,False,,True,,1,False,77.663,706,1,[]
4,E1-EX3,1,EX,o4-mini,"Search for objects and map every one you find with one orbit, then return home.",False,False,False,False,False,True,False,False,False,False,,True,,3,True,12.351,706,1,"[""attempt 1: map at 0 (object_id=1) requires a preceding approach"", ""attempt 2: map at 0 (object_id=1) requires a preceding approach""]"
4,E1-NOM1,1,NOM,gemini-2.5-flash-thinking,"Search for objects and map every one you find with one orbit, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,5.091,673,1,[]
4,E1-NOM1,1,NOM,gemini-2.5-flash-base,"Search for objects and map every one you find with one orbit, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,0.387,673,1,[]
4,E1-NOM1,1,NOM,qwen-235b-thinking,"Search for objects and map every one you find with one orbit, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,4.531,673,1,[]
4,E1-NOM1,1,NOM,qwen-235b-instruct,"Search for objects and map every one you find with one orbit, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,1.658,673,1,[]
4,E1-NOM1,1,NOM,deepseek-r1,"Search for objects and map every one you find with one orbit, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,3.368,673,1,[]
4,E1-NOM1,1,NOM,o4-mini,"Search for objects and map every one you find with one orbit, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,2.554,673,1,[]
4,E1-NOM2,1,NOM,gemini-2.5-flash-thinking,"Find objects and orbit each one twice, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,5.377,642,1,[]
4,E1-NOM2,1,NOM,gemini-2.5-flash-base,"Find objects and orbit each one twice, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,0.552,642,1,[]
4,E1-NOM2,1,NOM,qwen-235b-thinking,"Find objects and orbit each one twice, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,5.722,642,1,[]
4,E1-NOM2,1,NOM,qwen-235b-instruct,"Find objects and orbit each one twice, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,0.286,642,1,[]
4,E1-NOM2,1,NOM,deepseek-r1,"Find objects and orbit each one twice, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,10.15,642,1,[]
4,E1-NOM2,1,NOM,o4-mini,"Find objects and orbit each one twice, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,1.952,642,1,[]
4,E1-NOM3,1,NOM,gemini-2.5-flash-thinking,"Search for objects and map every one you find with one orbit, then return home.",True,False,False,False,True,False,,,False,False,,False,"The initial search found no objects, requiring a more thorough search to fulfill the mission before returning home.",1,False,7.473,618,37,[]
4,E1-NOM3,1,NOM,gemini-2.5-flash-base,"Search for objects and map every one you find with one orbit, then return home.",True,False,False,False,True,False,,,False,False,,False,"The previous search pattern was insufficient, therefore a more thorough search is needed to satisfy the mission goal of finding all objects.",1,False,0.768,618,49,[]
4,E1-NOM3,1,NOM,qwen-235b-thinking,"Search for objects and map every one you find with one orbit, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,3.655,618,1,[]
4,E1-NOM3,1,NOM,qwen-235b-instruct,"Search for objects and map every one you find with one orbit, then return home.",True,True,False,True,False,False,,,True,False,,True,,1,False,1.461,618,1,[]
