model,scope,n,decision_accuracy,FPR,FNR,constraint_valid_rate,tail_match_rate,mission_success_rate,avg_partial_credit,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens,TP,TN,FP,FN,n_replan_gt
gemini-2.5-flash-thinking,overall,32,87.5,16.7,10.0,90.0,75.0,78.1,0.5833,7.024,1.031,3.1,34.281,18,10,2,2,20
gemini-2.5-flash-thinking,Exp1,8,75.0,40.0,0.0,100.0,100.0,75.0,,6.027,1.0,0.0,28.0,3,3,2,0,3
gemini-2.5-flash-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,5.939,1.0,0.0,53.0,6,3,0,0,6
gemini-2.5-flash-thinking,Exp3,15,86.7,0.0,18.2,81.8,54.5,66.7,0.5833,8.205,1.067,6.7,26.4,9,4,0,2,11
gemini-2.5-flash-base,overall,32,93.8,16.7,0.0,100.0,85.0,84.4,1.0,0.969,1.188,15.6,29.875,20,10,2,0,20
gemini-2.5-flash-base,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,0.879,1.125,12.5,23.375,3,3,2,0,3
gemini-2.5-flash-base,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,1.291,1.333,22.2,37.778,6,3,0,0,6
gemini-2.5-flash-base,Exp3,15,100.0,0.0,0.0,100.0,81.8,86.7,1.0,0.823,1.133,13.3,28.6,11,4,0,0,11
qwen-235b-thinking,overall,32,87.5,8.3,15.0,65.0,55.0,68.8,0.25,80.436,1.438,28.1,35.219,17,11,1,3,20
qwen-235b-thinking,Exp1,8,75.0,20.0,33.3,33.3,33.3,62.5,,35.158,1.375,25.0,24.0,2,4,1,1,3
qwen-235b-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,57.321,1.333,22.2,61.889,6,3,0,0,6
qwen-235b-thinking,Exp3,15,86.7,0.0,18.2,54.5,36.4,53.3,0.25,118.454,1.533,33.3,25.2,9,4,0,2,11
qwen-235b-instruct,overall,32,71.9,8.3,40.0,60.0,20.0,46.9,0.75,3.586,1.0,0.0,18.875,12,11,1,8,20
qwen-235b-instruct,Exp1,8,75.0,20.0,33.3,66.7,0.0,50.0,,2.881,1.0,0.0,11.5,2,4,1,1,3
qwen-235b-instruct,Exp2,9,77.8,0.0,33.3,66.7,50.0,66.7,,4.045,1.0,0.0,17.444,4,3,0,2,6
qwen-235b-instruct,Exp3,15,66.7,0.0,45.5,54.5,9.1,33.3,0.75,3.687,1.0,0.0,23.667,6,4,0,5,11
deepseek-r1,overall,32,93.8,8.3,5.0,95.0,65.0,75.0,1.0,88.289,1.062,3.1,35.469,19,11,1,1,20
deepseek-r1,Exp1,8,75.0,20.0,33.3,66.7,33.3,62.5,,60.409,1.0,0.0,34.125,2,4,1,1,3
deepseek-r1,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,68.519,1.0,0.0,32.444,6,3,0,0,6
deepseek-r1,Exp3,15,100.0,0.0,0.0,100.0,54.5,66.7,1.0,115.02,1.133,6.7,38.0,11,4,0,0,11
o4-mini,overall,32,71.9,25.0,30.0,70.0,50.0,59.4,0.5,5.597,1.062,3.1,17.438,14,9,3,6,20
o4-mini,Exp1,8,75.0,20.0,33.3,66.7,33.3,62.5,,5.378,1.25,12.5,10.25,2,4,1,1,3
o4-mini,Exp2,9,88.9,33.3,0.0,100.0,100.0,88.9,,5.692,1.0,0.0,30.556,6,2,1,0,6
o4-mini,Exp3,15,60.0,25.0,45.5,54.5,27.3,40.0,0.5,5.656,1.0,0.0,13.4,6,3,1,5,11
