model,scope,n,decision_accuracy,FPR,FNR,constraint_valid_rate,tail_match_rate,mission_success_rate,avg_partial_credit,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens,TP,TN,FP,FN,n_replan_gt
gemini-2.5-flash-thinking,overall,32,90.6,16.7,5.0,95.0,70.0,75.0,0.5833,15.129,1.062,3.1,35.656,19,10,2,1,20
gemini-2.5-flash-thinking,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,8.062,1.0,0.0,38.375,3,3,2,0,3
gemini-2.5-flash-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,6.576,1.0,0.0,39.556,6,3,0,0,6
gemini-2.5-flash-thinking,Exp3,15,93.3,0.0,9.1,90.9,54.5,66.7,0.5833,24.03,1.133,6.7,31.867,10,4,0,1,11
gemini-2.5-flash-base,overall,32,90.6,16.7,5.0,95.0,75.0,78.1,0.5833,1.298,1.094,9.4,29.188,19,10,2,1,20
gemini-2.5-flash-base,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,1.006,1.125,12.5,30.375,3,3,2,0,3
gemini-2.5-flash-base,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,2.31,1.222,22.2,31.444,6,3,0,0,6
gemini-2.5-flash-base,Exp3,15,93.3,0.0,9.1,90.9,63.6,73.3,0.5833,0.847,1.0,0.0,27.2,10,4,0,1,11
qwen-235b-thinking,overall,32,90.6,8.3,10.0,80.0,65.0,75.0,0.5,61.974,1.375,28.1,33.281,18,11,1,2,20
qwen-235b-thinking,Exp1,8,87.5,20.0,0.0,66.7,66.7,75.0,,43.831,1.25,12.5,29.25,3,4,1,0,3
qwen-235b-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,65.134,1.444,33.3,47.889,6,3,0,0,6
qwen-235b-thinking,Exp3,15,86.7,0.0,18.2,72.7,45.5,60.0,0.5,69.753,1.4,33.3,26.667,9,4,0,2,11
qwen-235b-instruct,overall,32,65.6,16.7,45.0,55.0,20.0,43.8,0.5833,4.736,1.031,3.1,18.625,11,10,2,9,20
qwen-235b-instruct,Exp1,8,75.0,20.0,33.3,66.7,0.0,50.0,,5.837,1.125,12.5,14.75,2,4,1,1,3
qwen-235b-instruct,Exp2,9,77.8,0.0,33.3,66.7,50.0,66.7,,5.571,1.0,0.0,21.111,4,3,0,2,6
qwen-235b-instruct,Exp3,15,53.3,25.0,54.5,45.5,9.1,26.7,0.5833,3.647,1.0,0.0,19.2,5,3,1,6,11
deepseek-r1,overall,32,78.1,25.0,20.0,80.0,50.0,59.4,0.5833,76.289,1.031,3.1,28.875,16,9,3,4,20
deepseek-r1,Exp1,8,87.5,20.0,0.0,100.0,66.7,75.0,,64.108,1.0,0.0,29.75,3,4,1,0,3
deepseek-r1,Exp2,9,88.9,33.3,0.0,100.0,100.0,88.9,,52.291,1.0,0.0,34.222,6,2,1,0,6
deepseek-r1,Exp3,15,66.7,25.0,36.4,63.6,18.2,33.3,0.5833,97.184,1.067,6.7,25.2,7,3,1,4,11
o4-mini,overall,32,81.2,16.7,20.0,80.0,55.0,65.6,0.75,5.569,1.0,0.0,17.25,16,10,2,4,20
o4-mini,Exp1,8,75.0,20.0,33.3,66.7,33.3,62.5,,4.306,1.0,0.0,13.5,2,4,1,1,3
o4-mini,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,6.064,1.0,0.0,21.444,6,3,0,0,6
o4-mini,Exp3,15,73.3,25.0,27.3,72.7,36.4,46.7,0.75,5.946,1.0,0.0,16.733,8,3,1,3,11
