run_id,scenario_id,level,model,mission_text,validity_rate,tail_match,mission_success,attempts,needed_retry,latency_s,approx_prompt_tokens,approx_output_tokens,altitude_explicit,standoff_explicit,plan_length,reference_length,length_match,steps_correct_count,errors
7,P-L1-01,L1,gemini-2.5-flash-thinking,Take off to 5 meters and return home.,True,True,True,1,False,2.585,446,22,True,True,2,2,True,2,[]
7,P-L1-01,L1,gemini-2.5-flash-base,Take off to 5 meters and return home.,True,True,True,1,False,0.531,446,22,True,True,2,2,True,2,[]
7,P-L1-01,L1,qwen-235b-thinking,Take off to 5 meters and return home.,True,True,True,1,False,3.716,446,22,True,True,2,2,True,2,[]
7,P-L1-01,L1,qwen-235b-instruct,Take off to 5 meters and return home.,True,True,True,1,False,1.854,446,22,True,True,2,2,True,2,[]
7,P-L1-01,L1,deepseek-r1,Take off to 5 meters and return home.,True,True,True,1,False,9.137,446,22,True,True,2,2,True,2,[]
7,P-L1-01,L1,o4-mini,Take off to 5 meters and return home.,True,True,True,1,False,2.835,446,1,True,True,2,2,True,2,[]
7,P-L1-02,L1,gemini-2.5-flash-thinking,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,2.602,452,35,False,True,3,3,True,3,[]
7,P-L1-02,L1,gemini-2.5-flash-base,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,0.884,452,32,False,True,3,3,True,3,[]
7,P-L1-02,L1,qwen-235b-thinking,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,8.044,452,35,False,True,3,3,True,3,[]
7,P-L1-02,L1,qwen-235b-instruct,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,1.795,452,35,False,True,3,3,True,3,[]
7,P-L1-02,L1,deepseek-r1,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,16.539,452,35,False,True,3,3,True,3,[]
7,P-L1-02,L1,o4-mini,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,2.101,452,35,False,True,3,3,True,3,[]
7,P-L1-03,L1,gemini-2.5-flash-thinking,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,1.79,452,32,False,True,3,3,True,3,[]
7,P-L1-03,L1,gemini-2.5-flash-base,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,0.789,452,35,False,True,3,3,True,3,[]
7,P-L1-03,L1,qwen-235b-thinking,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,8.399,452,35,False,True,3,3,True,3,[]
7,P-L1-03,L1,qwen-235b-instruct,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,4.711,452,35,False,True,3,3,True,3,[]
7,P-L1-03,L1,deepseek-r1,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,4.531,452,32,False,True,3,3,True,3,[]
7,P-L1-03,L1,o4-mini,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,3.187,452,1,False,True,3,3,True,3,[]
7,P-L2-01,L2,gemini-2.5-flash-thinking,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,3.178,460,67,False,True,5,5,True,5,[]
7,P-L2-01,L2,gemini-2.5-flash-base,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,0.933,460,67,False,True,5,5,True,5,[]
7,P-L2-01,L2,qwen-235b-thinking,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,31.381,460,70,False,True,5,5,True,5,[]
7,P-L2-01,L2,qwen-235b-instruct,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,3.916,460,1,False,True,5,5,True,5,[]
7,P-L2-01,L2,deepseek-r1,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,39.644,460,70,False,True,5,5,True,5,[]
7,P-L2-01,L2,o4-mini,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,5.864,460,1,False,True,5,5,True,5,[]
7,P-L2-02,L2,gemini-2.5-flash-thinking,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,1.909,459,70,False,True,5,5,True,5,[]
7,P-L2-02,L2,gemini-2.5-flash-base,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,1.241,459,70,False,True,5,5,True,5,[]
7,P-L2-02,L2,qwen-235b-thinking,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,39.816,459,70,False,True,5,5,True,5,[]
7,P-L2-02,L2,qwen-235b-instruct,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,7.103,459,1,False,True,5,5,True,5,[]
7,P-L2-02,L2,deepseek-r1,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,60.677,459,70,False,True,5,5,True,5,[]
7,P-L2-02,L2,o4-mini,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,6.595,459,70,False,True,5,5,True,5,[]
7,P-L2-03,L2,gemini-2.5-flash-thinking,"Do a thorough search of the field. Map the first object you find with one orbit at 8 meters standoff, then return home.",True,True,True,1,False,4.089,467,67,False,True,5,5,True,5,[]
7,P-L2-03,L2,gemini-2.5-flash-base,"Do a thorough search of the field. Map the first object you find with one orbit at 8 meters standoff, then return home.",True,True,True,1,False,1.201,467,70,False,True,5,5,True,5,[]
7,P-L2-03,L2,qwen-235b-thinking,"Do a thorough search of the field. Map the first object you find with one orbit at 8 meters standoff, then return home.",True,True,True,1,False,23.502,467,70,False,True,5,5,True,5,[]
7,P-L2-03,L2,qwen-235b-instruct,"Do a thorough search of the field. Map the first object you find with one orbit at 8 meters standoff, then return home.",True,True,True,1,False,5.038,467,67,False,True,5,5,True,5,[]
7,P-L2-03,L2,deepseek-r1,"Do a thorough search of the field. Map the first object you find with one orbit at 8 meters standoff, then return home.",True,True,True,1,False,7.138,467,67,False,True,5,5,True,5,[]
7,P-L2-03,L2,o4-mini,"Do a thorough search of the field. Map the first object you find with one orbit at 8 meters standoff, then return home.",True,True,True,1,False,4.781,467,70,False,True,5,5,True,5,[]
7,P-L3-01,L3,gemini-2.5-flash-thinking,"Search for objects and map every one you find with a single orbit at 5 meter standoff, then return home.",True,True,True,1,False,3.26,463,70,False,True,5,5,True,5,[]
7,P-L3-01,L3,gemini-2.5-flash-base,"Search for objects and map every one you find with a single orbit at 5 meter standoff, then return home.",True,True,True,1,False,1.036,463,67,False,True,5,5,True,5,[]
7,P-L3-01,L3,qwen-235b-thinking,"Search for objects and map every one you find with a single orbit at 5 meter standoff, then return home.",True,True,True,1,False,37.581,463,67,False,True,5,5,True,5,[]
7,P-L3-01,L3,qwen-235b-instruct,"Search for objects and map every one you find with a single orbit at 5 meter standoff, then return home.",True,True,True,1,False,7.031,463,70,False,True,5,5,True,5,[]
7,P-L3-01,L3,deepseek-r1,"Search for objects and map every one you find with a single orbit at 5 meter standoff, then return home.",True,True,True,1,False,75.0,463,70,False,True,5,5,True,5,[]
7,P-L3-01,L3,o4-mini,"Search for objects and map every one you find with a single orbit at 5 meter standoff, then return home.",True,True,True,1,False,6.658,463,70,False,True,5,5,True,5,[]
7,P-L3-02,L3,gemini-2.5-flash-thinking,"Take off to 8 meters, do a lawnmower search, then orbit every object you find three times at 5 meters. Return home when done.",True,True,True,1,False,2.941,468,70,True,True,5,5,True,5,[]
7,P-L3-02,L3,gemini-2.5-flash-base,"Take off to 8 meters, do a lawnmower search, then orbit every object you find three times at 5 meters. Return home when done.",True,True,True,1,False,1.576,468,70,True,True,5,5,True,5,[]
7,P-L3-02,L3,qwen-235b-thinking,"Take off to 8 meters, do a lawnmower search, then orbit every object you find three times at 5 meters. Return home when done.",True,True,True,1,False,58.018,468,70,True,True,5,5,True,5,[]
7,P-L3-02,L3,qwen-235b-instruct,"Take off to 8 meters, do a lawnmower search, then orbit every object you find three times at 5 meters. Return home when done.",True,True,True,1,False,6.205,468,70,True,True,5,5,True,5,[]
7,P-L3-02,L3,deepseek-r1,"Take off to 8 meters, do a lawnmower search, then orbit every object you find three times at 5 meters. Return home when done.",True,True,True,2,True,231.592,468,70,True,True,5,5,True,5,"[""attempt 1: Must start with takeoff; Must end with return_home; Unknown state '' at step 0; Unknown state '' at step 1; Unknown state '' at step 2; Unknown state '' at step 3; Unknown state '' at step 4""]"
7,P-L3-02,L3,o4-mini,"Take off to 8 meters, do a lawnmower search, then orbit every object you find three times at 5 meters. Return home when done.",True,True,True,1,False,4.97,468,1,True,True,5,5,True,5,[]
7,P-L3-03,L3,gemini-2.5-flash-thinking,"Find any objects and map each one twice at 7 meter standoff, then come home.",True,True,True,1,False,3.577,456,70,False,True,5,5,True,5,[]
7,P-L3-03,L3,gemini-2.5-flash-base,"Find any objects and map each one twice at 7 meter standoff, then come home.",True,True,True,1,False,1.263,456,70,False,True,5,5,True,5,[]
7,P-L3-03,L3,qwen-235b-thinking,"Find any objects and map each one twice at 7 meter standoff, then come home.",True,True,True,1,False,57.847,456,70,False,True,5,5,True,5,[]
7,P-L3-03,L3,qwen-235b-instruct,"Find any objects and map each one twice at 7 meter standoff, then come home.",True,True,True,1,False,2.37,456,70,False,True,5,5,True,5,[]
7,P-L3-03,L3,deepseek-r1,"Find any objects and map each one twice at 7 meter standoff, then come home.",True,True,True,1,False,69.813,456,70,False,True,5,5,True,5,[]
7,P-L3-03,L3,o4-mini,"Find any objects and map each one twice at 7 meter standoff, then come home.",True,True,True,1,False,5.447,456,1,False,True,5,5,True,5,[]
7,P-L3-04,L3,gemini-2.5-flash-thinking,"Conduct a systematic grid survey of the area. For every object discovered, do three orbits at 6 meter standoff to collect a detailed map. Return to launch when complete.",True,True,True,1,False,2.709,475,70,False,True,5,5,True,5,[]
