model,scope,n,validity_rate,tail_match_rate,mission_success_rate,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens
gemini-2.5-flash-thinking,overall,10,100.0,100.0,100.0,2.864,1.0,0.0,57.3
gemini-2.5-flash-thinking,L1,3,100.0,100.0,100.0,2.326,1.0,0.0,29.667
gemini-2.5-flash-thinking,L2,3,100.0,100.0,100.0,3.059,1.0,0.0,68.0
gemini-2.5-flash-thinking,L3,4,100.0,100.0,100.0,3.122,1.0,0.0,70.0
gemini-2.5-flash-base,overall,10,100.0,100.0,100.0,1.072,1.0,0.0,57.3
gemini-2.5-flash-base,L1,3,100.0,100.0,100.0,0.735,1.0,0.0,29.667
gemini-2.5-flash-base,L2,3,100.0,100.0,100.0,1.125,1.0,0.0,69.0
gemini-2.5-flash-base,L3,4,100.0,100.0,100.0,1.286,1.0,0.0,69.25
qwen-235b-thinking,overall,10,100.0,100.0,100.0,40.673,1.0,0.0,57.9
qwen-235b-thinking,L1,3,100.0,100.0,100.0,6.72,1.0,0.0,30.667
qwen-235b-thinking,L2,3,100.0,100.0,100.0,31.566,1.0,0.0,70.0
qwen-235b-thinking,L3,4,100.0,100.0,100.0,72.967,1.0,0.0,69.25
qwen-235b-instruct,overall,10,100.0,100.0,100.0,4.225,1.0,0.0,44.1
qwen-235b-instruct,L1,3,100.0,100.0,100.0,2.787,1.0,0.0,30.667
qwen-235b-instruct,L2,3,100.0,100.0,100.0,5.352,1.0,0.0,23.0
qwen-235b-instruct,L3,4,100.0,100.0,100.0,4.457,1.0,0.0,70.0
deepseek-r1,overall,10,100.0,100.0,100.0,72.227,1.1,10.0,57.3
deepseek-r1,L1,3,100.0,100.0,100.0,10.069,1.0,0.0,29.667
deepseek-r1,L2,3,100.0,100.0,100.0,35.82,1.0,0.0,69.0
deepseek-r1,L3,4,100.0,100.0,100.0,146.151,1.25,25.0,69.25
o4-mini,overall,10,100.0,100.0,100.0,4.906,1.0,0.0,32.0
o4-mini,L1,3,100.0,100.0,100.0,2.708,1.0,0.0,12.333
o4-mini,L2,3,100.0,100.0,100.0,5.747,1.0,0.0,47.0
o4-mini,L3,4,100.0,100.0,100.0,5.924,1.0,0.0,35.5
