model,scope,n,validity_rate,tail_match_rate,mission_success_rate,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens
gemini-2.5-flash-thinking,overall,10,100.0,100.0,100.0,4.487,1.0,0.0,57.9
gemini-2.5-flash-thinking,L1,3,100.0,100.0,100.0,2.231,1.0,0.0,30.667
gemini-2.5-flash-thinking,L2,3,100.0,100.0,100.0,8.876,1.0,0.0,69.0
gemini-2.5-flash-thinking,L3,4,100.0,100.0,100.0,2.887,1.0,0.0,70.0
gemini-2.5-flash-base,overall,10,100.0,100.0,100.0,1.163,1.0,0.0,56.7
gemini-2.5-flash-base,L1,3,100.0,100.0,100.0,0.672,1.0,0.0,30.667
gemini-2.5-flash-base,L2,3,100.0,100.0,100.0,1.176,1.0,0.0,68.0
gemini-2.5-flash-base,L3,4,100.0,100.0,100.0,1.521,1.0,0.0,67.75
qwen-235b-thinking,overall,10,100.0,100.0,100.0,45.398,1.2,20.0,50.7
qwen-235b-thinking,L1,3,100.0,100.0,100.0,7.208,1.0,0.0,30.667
qwen-235b-thinking,L2,3,100.0,100.0,100.0,44.644,1.333,33.3,61.667
qwen-235b-thinking,L3,4,100.0,100.0,100.0,74.605,1.25,25.0,57.5
qwen-235b-instruct,overall,10,100.0,100.0,100.0,6.977,1.0,0.0,53.7
qwen-235b-instruct,L1,3,100.0,100.0,100.0,3.128,1.0,0.0,25.0
qwen-235b-instruct,L2,3,100.0,100.0,100.0,16.564,1.0,0.0,69.0
qwen-235b-instruct,L3,4,100.0,100.0,100.0,2.674,1.0,0.0,63.75
deepseek-r1,overall,10,100.0,90.0,90.0,58.835,1.0,0.0,49.6
deepseek-r1,L1,3,100.0,100.0,100.0,12.77,1.0,0.0,28.667
deepseek-r1,L2,3,100.0,100.0,100.0,35.577,1.0,0.0,67.0
deepseek-r1,L3,4,100.0,75.0,75.0,110.827,1.0,0.0,52.25
o4-mini,overall,10,100.0,100.0,100.0,6.534,1.0,0.0,51.5
o4-mini,L1,3,100.0,100.0,100.0,2.59,1.0,0.0,30.667
o4-mini,L2,3,100.0,100.0,100.0,5.521,1.0,0.0,69.0
o4-mini,L3,4,100.0,100.0,100.0,10.253,1.0,0.0,54.0
