run_id,scenario_id,level,model,mission_text,validity_rate,tail_match,mission_success,attempts,needed_retry,latency_s,approx_prompt_tokens,approx_output_tokens,altitude_explicit,standoff_explicit,plan_length,reference_length,length_match,steps_correct_count,errors
5,P-L1-01,L1,gemini-2.5-flash-thinking,Take off to 5 meters and return home.,True,True,True,1,False,2.047,446,22,True,True,2,2,True,2,[]
5,P-L1-01,L1,gemini-2.5-flash-base,Take off to 5 meters and return home.,True,True,True,1,False,0.726,446,22,True,True,2,2,True,2,[]
5,P-L1-01,L1,qwen-235b-thinking,Take off to 5 meters and return home.,True,True,True,1,False,2.956,446,22,True,True,2,2,True,2,[]
5,P-L1-01,L1,qwen-235b-instruct,Take off to 5 meters and return home.,True,True,True,1,False,1.905,446,22,True,True,2,2,True,2,[]
5,P-L1-01,L1,deepseek-r1,Take off to 5 meters and return home.,True,True,True,1,False,11.912,446,22,True,True,2,2,True,2,[]
5,P-L1-01,L1,o4-mini,Take off to 5 meters and return home.,True,True,True,1,False,2.686,446,1,True,True,2,2,True,2,[]
5,P-L1-02,L1,gemini-2.5-flash-thinking,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,4.526,452,35,False,True,3,3,True,3,[]
5,P-L1-02,L1,gemini-2.5-flash-base,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,0.895,452,35,False,True,3,3,True,3,[]
5,P-L1-02,L1,qwen-235b-thinking,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,13.506,452,35,False,True,3,3,True,3,[]
5,P-L1-02,L1,qwen-235b-instruct,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,9.56,452,1,False,True,3,3,True,3,[]
5,P-L1-02,L1,deepseek-r1,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,17.273,452,35,False,True,3,3,True,3,[]
5,P-L1-02,L1,o4-mini,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,5.196,452,35,False,True,3,3,True,3,[]
5,P-L1-03,L1,gemini-2.5-flash-thinking,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,2.627,452,35,False,True,3,3,True,3,[]
5,P-L1-03,L1,gemini-2.5-flash-base,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,0.807,452,35,False,True,3,3,True,3,[]
5,P-L1-03,L1,qwen-235b-thinking,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,9.489,452,35,False,True,3,3,True,3,[]
5,P-L1-03,L1,qwen-235b-instruct,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,2.696,452,35,False,True,3,3,True,3,[]
5,P-L1-03,L1,deepseek-r1,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,19.075,452,35,False,True,3,3,True,3,[]
5,P-L1-03,L1,o4-mini,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,3.045,452,35,False,True,3,3,True,3,[]
5,P-L2-01,L2,gemini-2.5-flash-thinking,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,5.766,460,67,False,True,5,5,True,5,[]
5,P-L2-01,L2,gemini-2.5-flash-base,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,1.21,460,64,False,True,5,5,True,5,[]
5,P-L2-01,L2,qwen-235b-thinking,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,24.084,460,67,False,True,5,5,True,5,[]
5,P-L2-01,L2,qwen-235b-instruct,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,6.997,460,67,False,True,5,5,True,5,[]
5,P-L2-01,L2,deepseek-r1,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,41.363,460,64,False,True,5,5,True,5,[]
5,P-L2-01,L2,o4-mini,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,4.629,460,70,False,True,5,5,True,5,[]
5,P-L2-02,L2,gemini-2.5-flash-thinking,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,5.057,459,70,False,True,5,5,True,5,[]
5,P-L2-02,L2,gemini-2.5-flash-base,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,1.177,459,67,False,True,5,5,True,5,[]
5,P-L2-02,L2,qwen-235b-thinking,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,35.746,459,70,False,True,5,5,True,5,[]
5,P-L2-02,L2,qwen-235b-instruct,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,3.23,459,70,False,True,5,5,True,5,[]
