model,scope,n,validity_rate,tail_match_rate,mission_success_rate,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens
gemini-2.5-flash-thinking,overall,10,100.0,100.0,100.0,3.461,1.0,0.0,55.2
gemini-2.5-flash-thinking,L1,3,100.0,100.0,100.0,3.067,1.0,0.0,30.667
gemini-2.5-flash-thinking,L2,3,100.0,100.0,100.0,4.423,1.0,0.0,69.0
gemini-2.5-flash-thinking,L3,4,100.0,100.0,100.0,3.036,1.0,0.0,63.25
gemini-2.5-flash-base,overall,10,100.0,100.0,100.0,1.103,1.0,0.0,56.4
gemini-2.5-flash-base,L1,3,100.0,100.0,100.0,0.809,1.0,0.0,30.667
gemini-2.5-flash-base,L2,3,100.0,100.0,100.0,1.208,1.0,0.0,66.0
gemini-2.5-flash-base,L3,4,100.0,100.0,100.0,1.245,1.0,0.0,68.5
qwen-235b-thinking,overall,10,100.0,100.0,100.0,31.678,1.0,0.0,57.9
qwen-235b-thinking,L1,3,100.0,100.0,100.0,8.65,1.0,0.0,30.667
qwen-235b-thinking,L2,3,100.0,100.0,100.0,26.683,1.0,0.0,69.0
qwen-235b-thinking,L3,4,100.0,100.0,100.0,52.694,1.0,0.0,70.0
qwen-235b-instruct,overall,10,100.0,100.0,100.0,4.844,1.0,0.0,54.2
qwen-235b-instruct,L1,3,100.0,100.0,100.0,4.72,1.0,0.0,19.333
qwen-235b-instruct,L2,3,100.0,100.0,100.0,6.278,1.0,0.0,68.0
qwen-235b-instruct,L3,4,100.0,100.0,100.0,3.861,1.0,0.0,70.0
deepseek-r1,overall,10,100.0,100.0,100.0,52.701,1.1,10.0,57.0
deepseek-r1,L1,3,100.0,100.0,100.0,16.087,1.0,0.0,30.667
deepseek-r1,L2,3,100.0,100.0,100.0,76.133,1.333,33.3,68.0
deepseek-r1,L3,4,100.0,100.0,100.0,62.588,1.0,0.0,68.5
o4-mini,overall,10,100.0,100.0,100.0,7.051,1.0,0.0,53.6
o4-mini,L1,3,100.0,100.0,100.0,3.642,1.0,0.0,23.667
o4-mini,L2,3,100.0,100.0,100.0,9.031,1.0,0.0,61.667
o4-mini,L3,4,100.0,100.0,100.0,8.124,1.0,0.0,70.0
